messageTime,currGameStat,gameFlow
00:05:00,"In the first inning with two outs, Kia Tigers batter Choi Hyung-woo faced a 4-1 ball-strike count against Samsung Lions pitcher Hwang Dong-jae, who threw a 144 km/h fastball resulting in ball number five. Kia Tigers batter 최형우 drew a walk against Samsung Lions pitcher 황동재, putting a runner on first with two outs in the first inning. Kia Tigers’ baserunner Kim Do-young advanced from first base to second base while his team was batting in the first inning against Samsung Lions. Kia Tigers’ fifth batter, Oh Sun-woo, stepped up to the plate with runners on first and second and two outs in the first inning against Samsung Lions’ pitcher Hwang Dong-jae.","The Kia Tigers have maintained pressure on Samsung Lions pitcher Hwang Dong-jae early in the first inning, capitalizing on a hit-by-pitch and a walk to put runners on base. After Kim Do-young reached first and advanced to second, Choi Hyung-woo worked a full count before drawing a walk, loading the bases with two outs. Hwang has been mixing his 143-144 km/h fastball and forkball effectively, but Kia’s patience at the plate is paying off. Now, with runners on first and second and two outs, Oh Sun-woo steps up to continue the Tigers’ threat. The inning remains a tightly contested battle between both teams."
00:05:30,"In the first inning, Kia Tigers’ batter Oh Sun-woo faced a curveball from Samsung Lions’ pitcher Hwang Dong-jae and took ball one, making the count 1-0 with two outs and runners on first and second. Kia Tigers’ batter 오선우 swung and missed on the second pitch, a 132 km/h forkball thrown by Samsung Lions’ pitcher 황동재, bringing the count to one ball and one strike with two outs in the first inning.","The Kia Tigers have continued to apply pressure on Samsung Lions pitcher Hwang Dong-jae in the first inning, building on their earlier success of loading the bases with two outs. After a hit-by-pitch and a walk set the stage, Kim Do-young and Choi Hyung-woo helped extend the threat by reaching base and drawing walks. Now with runners on first and second and two outs, Oh Sun-woo is battling at the plate, currently down 1-1 after taking a ball and missing a forkball. Hwang’s mix of fastballs, forkballs, and curveballs has kept the Tigers’ hitters off balance, but Kia remains patient and persistent. The inning remains a tense duel as Kia looks to capitalize further."
00:06:00,"In the first inning, Kia Tigers batter Oh Sun-woo swung and missed on a 123 km/h curveball from Samsung Lions pitcher Hwang Dong-jae, bringing the count to one ball and two strikes with two outs and runners on first and second.","The Kia Tigers have maintained their offensive pressure against Samsung Lions pitcher Hwang Dong-jae in the first inning, building on a sequence that included a hit-by-pitch, walks, and timely hits by Kim Do-young and Choi Hyung-woo. With runners now on first and second and two outs, Oh Sun-woo is at the plate, currently down 1-2 after missing a 123 km/h curveball. Hwang’s varied pitching arsenal has challenged the Tigers, but they remain patient and determined to extend the inning. The battle continues as Kia looks to capitalize on this scoring opportunity early in the game."
00:06:30,"In the first inning, Kia Tigers batter Oh Sun-woo faced Samsung Lions pitcher Hwang Dong-jae, who threw a 136 km/h forkball resulting in a foul ball on a 1-2 count with runners on first and second and two outs.","The Kia Tigers have kept up their offensive pressure against Samsung Lions pitcher Hwang Dong-jae in the first inning, following a sequence of hit-by-pitch, walks, and key hits from Kim Do-young and Choi Hyung-woo. With runners on first and second and two outs, Oh Sun-woo is battling at the plate, currently down 1-2 after missing a curveball earlier. Hwang responded with a 136 km/h forkball, which Oh fouled off, prolonging the at-bat. The Tigers remain patient and determined to extend the inning and capitalize on this early scoring chance. The duel between Kia’s hitters and Hwang’s varied pitching continues to shape the game’s opening moments."
00:07:00,"In the first inning, Kia Tigers batter Oh Sun-woo swung and missed on the fifth pitch, a 136 km/h forkball thrown by Samsung Lions pitcher Hwang Dong-jae, with a count of one ball and three strikes and two outs. Kia Tigers’ batter Oh Sun-woo struck out, resulting in the third out of the first inning against Samsung Lions’ pitcher Hwang Dong-jae.","The Kia Tigers maintained offensive pressure early against Samsung Lions pitcher Hwang Dong-jae, working a sequence of hit-by-pitch, walks, and key hits to load the bases with two outs. Oh Sun-woo battled fiercely at the plate, fouling off several pitches and staying patient despite a challenging 1-2 count. However, on a 136 km/h forkball, Oh ultimately struck out swinging to end the inning. Despite the Tigers’ efforts to capitalize on this scoring opportunity, Hwang managed to escape the jam unscathed. The game remains tightly contested as the first inning concludes."
00:07:30,There's a TV commercial or a replay on.,"The Kia Tigers maintained offensive pressure early against Samsung Lions pitcher Hwang Dong-jae, working a sequence of hit-by-pitch, walks, and key hits to load the bases with two outs. Oh Sun-woo battled fiercely at the plate, fouling off several pitches and staying patient despite a challenging 1-2 count. However, on a 136 km/h forkball, Oh ultimately struck out swinging to end the inning. Despite the Tigers’ efforts to capitalize on this scoring opportunity, Hwang managed to escape the jam unscathed. The game remains tightly contested as the first inning concludes."
00:08:00,There's a TV commercial or a replay on.,"The Kia Tigers maintained offensive pressure early against Samsung Lions pitcher Hwang Dong-jae, working a sequence of hit-by-pitch, walks, and key hits to load the bases with two outs. Oh Sun-woo battled fiercely at the plate, fouling off several pitches and staying patient despite a challenging 1-2 count. However, on a 136 km/h forkball, Oh ultimately struck out swinging to end the inning. Despite the Tigers’ efforts to capitalize on this scoring opportunity, Hwang managed to escape the jam unscathed. The game remains tightly contested as the first inning concludes."
00:08:30,There's a TV commercial or a replay on.,"The Kia Tigers maintained offensive pressure early against Samsung Lions pitcher Hwang Dong-jae, working a sequence of hit-by-pitch, walks, and key hits to load the bases with two outs. Oh Sun-woo battled fiercely at the plate, fouling off several pitches and staying patient despite a challenging 1-2 count. However, on a 136 km/h forkball, Oh ultimately struck out swinging to end the inning. Despite the Tigers’ efforts to capitalize on this scoring opportunity, Hwang managed to escape the jam unscathed. The game remains tightly contested as the first inning concludes."
00:09:00,There's a TV commercial or a replay on.,"The Kia Tigers maintained offensive pressure early against Samsung Lions pitcher Hwang Dong-jae, working a sequence of hit-by-pitch, walks, and key hits to load the bases with two outs. Oh Sun-woo battled fiercely at the plate, fouling off several pitches and staying patient despite a challenging 1-2 count. However, on a 136 km/h forkball, Oh ultimately struck out swinging to end the inning. Despite the Tigers’ efforts to capitalize on this scoring opportunity, Hwang managed to escape the jam unscathed. The game remains tightly contested as the first inning concludes."
00:09:30,"1회초 삼성 라이온즈가 공격하는 가운데, 1번 타자 김지찬이 타석에 들어섰다. Kia 타이거즈의 투수 네일을 상대한다. 볼카운트 0-0, 무사 주자 없는 상황이다. Samsung Lions’ batter 김지찬 faced Kia Tigers’ pitcher 네일, who threw a 150 km/h two-seam fastball resulting in a called strike, bringing the count to 0 balls and 1 strike with no runners on base and no outs in the first inning.","The game opened with the Kia Tigers applying early pressure on Samsung Lions pitcher Hwang Dong-jae, loading the bases with two outs but ultimately failing to score as Oh Sun-woo struck out swinging on a 136 km/h forkball. Hwang’s resilience kept the Tigers off the board, leaving the game scoreless after the top of the first inning. Now, the Samsung Lions have come to bat in the bottom of the first, with leadoff hitter Kim Ji-chan facing Kia’s pitcher Neil. The count stands at 0-1 after a called strike on a 150 km/h two-seam fastball, with no runners on base and no outs. The tightly contested game continues as both teams seek to break the deadlock early."
00:10:00,"In the first inning, Samsung Lions’ batter Kim Ji-chan faced Kia Tigers’ pitcher Neil and saw a changeup pitch at 140 km/h, resulting in a ball and bringing the count to one ball and one strike. Samsung Lions’ batter 김지찬 faced a 140 km/h changeup from Kia Tigers’ pitcher 네일, resulting in a third pitch strike and a 1-2 count with no runners on base and no outs in the first inning.","The game remains scoreless as the Kia Tigers applied early pressure but failed to capitalize, with Samsung Lions pitcher Hwang Dong-jae escaping a bases-loaded jam in the top of the first. Now batting in the bottom of the first, Samsung’s leadoff hitter Kim Ji-chan is working a 1-2 count against Kia’s pitcher Neil after seeing a 140 km/h changeup. With no runners on base and no outs, the Lions are looking to respond and set the tone early. Both teams have shown strong pitching and defense, keeping the game tightly contested. The first inning continues with tension high as each side seeks to break the deadlock."
00:10:30,"In the top of the 1st inning, Samsung Lions’ batter Kim Ji-chan faced Kia Tigers’ pitcher Neil and fouled off a 136 km/h slider, bringing the count to one ball and two strikes with no runners on base and no outs.","The game remains scoreless as both teams have demonstrated strong pitching and defense in a tightly contested first inning. Kia Tigers applied early pressure but Samsung Lions’ pitcher Hwang Dong-jae escaped a bases-loaded jam in the top half. Now batting in the bottom of the first, Samsung’s leadoff hitter Kim Ji-chan is battling Kia’s pitcher Neil, currently down 1-2 after fouling off a 136 km/h slider. With no runners on and no outs, the Lions are looking to seize momentum and break the deadlock. The tension continues to build as the inning progresses."
00:11:00,"삼성 라이온즈가 1회 초 공격 중인 상황에서 1번 타자 김지찬이 Kia 타이거즈 투수 네일의 5구 슬라이더에 헛스윙하며 스트라이크 3개를 기록했다. Samsung Lions’ batter 김지찬 struck out against Kia Tigers’ pitcher 네일, resulting in the first out of the inning. In the first inning, the Samsung Lions, who are batting, sent their second batter, 김성윤, to the plate against Kia Tigers pitcher 네일 with no balls and no strikes in the count and one out recorded.","The game remains scoreless after a strong defensive showing from both teams in the first inning. Kia Tigers threatened early but Samsung Lions’ pitcher Hwang Dong-jae escaped a bases-loaded jam to keep the game tied. Now batting in the bottom of the first, Samsung’s leadoff hitter Kim Ji-chan struck out swinging against Kia’s pitcher Neil, recording the first out. Following this, Samsung’s second batter Kim Sung-yoon stepped up to the plate with no balls and no strikes. The Lions continue to look for a breakthrough as the inning progresses."
00:11:30,"In the first inning, Samsung Lions batter Kim Sung-yoon faced Kia Tigers pitcher Neil and swung unsuccessfully at a slider on the first pitch, resulting in one strike with no runners on base and one out recorded.","The game remains scoreless after a strong defensive effort from both teams in the first inning. Kia Tigers threatened early, loading the bases, but Samsung Lions’ pitcher Hwang Dong-jae escaped unscathed to keep the game tied. Now in the bottom of the first, Samsung’s leadoff hitter Kim Ji-chan struck out swinging against Kia’s pitcher Neil for the first out. Following that, Kim Sung-yoon came to the plate and quickly fell behind 0-1 after swinging at a slider. The Lions continue to search for a breakthrough as they try to capitalize on their first inning at-bat."
00:12:00,"In the first inning, Samsung Lions’ batter Kim Sung-yoon faced a slider from Kia Tigers’ pitcher Neil, resulting in a ball and a strike with a 1-1 count and one out. Samsung Lions’ batter 김성윤 faced Kia Tigers’ pitcher 네일 and took a 141 km/h changeup for a strike, bringing the count to one ball and two strikes with one out in the first inning.","The game remains scoreless after a tense first inning marked by strong pitching and defense from both teams. Kia Tigers loaded the bases early but Samsung Lions’ pitcher Hwang Dong-jae managed to escape without allowing a run. Now batting in the bottom of the first, Samsung’s leadoff hitter Kim Ji-chan struck out, and Kim Sung-yoon is currently battling Kia’s pitcher Neil, falling behind 1-2 after taking a changeup strike. The Lions are still searching for a breakthrough as they try to capitalize on their first opportunity at the plate. The tight pitching duel continues to set the tone early in this game."
00:12:30,"In the first inning, Samsung Lions’ batter Kim Sung-yoon faced Kia Tigers’ pitcher Neil and took a ball on a 150 km/h fastball, bringing the count to 2 balls and 2 strikes with one out and no runners on base. Samsung Lions’ batter 김성윤 faced a 2-2 count and took a 151 km/h fastball from Kia Tigers’ pitcher 네일 for a strike, bringing the count to 2 balls and 3 strikes with one out in the first inning.","The game remains scoreless after a tense first inning highlighted by strong pitching and defense from both teams. Kia Tigers loaded the bases early but Samsung Lions’ pitcher Hwang Dong-jae escaped unscathed. Now batting in the bottom of the first, Samsung’s Kim Ji-chan struck out, and Kim Sung-yoon is battling Kia’s pitcher Neil, currently down 2-3 with one out and no runners on base. The Lions continue to seek their first breakthrough as the tight pitching duel persists. Both teams are locked in a defensive battle, setting the tone for a closely contested game."
00:13:00,"In the first inning, Samsung Lions’ batter 김성윤 struck out against Kia Tigers’ pitcher 네일, resulting in the second out with a full count of two balls and three strikes. 삼성 라이온즈가 1회 2아웃 상황에서 3번 타자 구자욱이 타석에 들어섰다.","The game remains scoreless after a tense first inning marked by strong pitching and defense from both teams. Kia Tigers loaded the bases early, but Samsung Lions’ pitcher Hwang Dong-jae escaped without allowing a run. Now in the bottom of the first with two outs, Samsung’s Kim Sung-yoon has just struck out against Kia’s pitcher Neil, and cleanup hitter Koo Ja-wook steps up to the plate. The Lions continue to search for their first breakthrough as the pitching duel intensifies. Both teams remain locked in a defensive battle, setting the stage for a closely contested game."
00:13:30,"In the first inning, Samsung Lions’ batter Gu Ja-wook swung and missed on a cutter pitch at 146 km/h from Kia Tigers’ pitcher Neil, resulting in a strike and a 0-1 count with two outs and no runners on base. Samsung Lions’ batter 구자욱 faced Kia Tigers’ pitcher 네일 and swung at the second pitch, a 138 km/h slider. Samsung Lions’ batter 구자욱 grounded out to the shortstop, who threw to first base for the out, marking the third out of the inning.","The game remains scoreless after a tightly contested first inning dominated by strong pitching and defense from both teams. Kia Tigers threatened early by loading the bases, but Samsung Lions’ pitcher Hwang Dong-jae held firm to prevent any runs. Now at bat in the bottom of the first with two outs, Samsung’s cleanup hitter Gu Ja-wook faced Kia’s pitcher Neil but grounded out to shortstop, ending the inning. Both teams continue to showcase a pitching duel, with neither side able to break through offensively. The game remains a defensive battle, setting up an intense contest ahead."
00:14:00,There's a TV commercial or a replay on.,"The game remains scoreless after a tightly contested first inning dominated by strong pitching and defense from both teams. Kia Tigers threatened early by loading the bases, but Samsung Lions’ pitcher Hwang Dong-jae held firm to prevent any runs. Now at bat in the bottom of the first with two outs, Samsung’s cleanup hitter Gu Ja-wook faced Kia’s pitcher Neil but grounded out to shortstop, ending the inning. Both teams continue to showcase a pitching duel, with neither side able to break through offensively. The game remains a defensive battle, setting up an intense contest ahead."
00:14:30,There's a TV commercial or a replay on.,"The game remains scoreless after a tightly contested first inning dominated by strong pitching and defense from both teams. Kia Tigers threatened early by loading the bases, but Samsung Lions’ pitcher Hwang Dong-jae held firm to prevent any runs. Now at bat in the bottom of the first with two outs, Samsung’s cleanup hitter Gu Ja-wook faced Kia’s pitcher Neil but grounded out to shortstop, ending the inning. Both teams continue to showcase a pitching duel, with neither side able to break through offensively. The game remains a defensive battle, setting up an intense contest ahead."
00:15:00,There's a TV commercial or a replay on.,"The game remains scoreless after a tightly contested first inning dominated by strong pitching and defense from both teams. Kia Tigers threatened early by loading the bases, but Samsung Lions’ pitcher Hwang Dong-jae held firm to prevent any runs. Now at bat in the bottom of the first with two outs, Samsung’s cleanup hitter Gu Ja-wook faced Kia’s pitcher Neil but grounded out to shortstop, ending the inning. Both teams continue to showcase a pitching duel, with neither side able to break through offensively. The game remains a defensive battle, setting up an intense contest ahead."
00:15:30,"In the top of the 2nd inning, Kia Tigers’ sixth batter, Kim Seok-hwan, stepped up to bat against Samsung Lions’ pitcher Hwang Dong-jae with no balls or strikes and no runners on base.","The game remains scoreless as both teams continue their pitching duel into the second inning. After a tense first inning where Kia loaded the bases but failed to score, Samsung’s cleanup hitter Gu Ja-wook ended the frame with a groundout. Now in the top of the second, Kia’s sixth batter, Kim Seok-hwan, is at the plate with no balls or strikes and no runners on base, looking to spark the Tigers’ offense. Both teams are maintaining strong defensive efforts, keeping the game tightly contested. The early innings suggest a battle of pitchers with each side searching for a breakthrough."
00:16:00,"In the second inning, Kia Tigers batter Kim Seok-hwan swung and missed on a 132 km/h forkball from Samsung Lions pitcher Hwang Dong-jae, resulting in a strike with no runners on base and no outs. Kia Tigers’ batter Kim Seok-hwan faced a curveball from Samsung Lions’ pitcher Hwang Dong-jae, resulting in a ball count of 1-1 with no runners on base and no outs in the second inning.","The game remains scoreless as both teams continue their pitching duel into the second inning. After Kia loaded the bases in the first but failed to score, Samsung’s Gu Ja-wook ended the inning with a groundout. Now, Kia’s Kim Seok-hwan is at the plate, having just swung and missed on a forkball before drawing a ball on a curveball, with no runners on base and no outs. Both teams are maintaining strong defensive efforts, keeping the game tightly contested. The early innings continue to showcase a battle of pitchers, with each side searching for a breakthrough."
00:16:30,"In the second inning, Kia Tigers batter Kim Seok-hwan faced a forkball from Samsung Lions pitcher Hwang Dong-jae, resulting in a ball and bringing the count to 2-1 with no runners on base and no outs. Kia Tigers’ batter 김석환 faced a 2-2 count as Samsung Lions’ pitcher 황동재 delivered a 144 km/h fastball resulting in a swinging strike.","The game remains scoreless as both teams continue their pitching duel into the second inning. Kia Tigers loaded the bases in the first but failed to capitalize, while Samsung’s Gu Ja-wook ended the inning with a groundout. Currently, Kia’s Kim Seok-hwan is at the plate, having battled to a 2-2 count against Samsung pitcher Hwang Dong-jae, who has mixed forkballs and fastballs effectively. With no runners on base and no outs, both teams are maintaining strong defensive efforts, keeping the game tightly contested. The early innings continue to showcase a battle of pitchers, with each side searching for a breakthrough."
00:17:00,"In the second inning, Kia Tigers batter Kim Seok-hwan faced Samsung Lions pitcher Hwang Dong-jae and swung and missed on the fifth pitch, a 145 km/h fastball, with a full count of 2 balls and 3 strikes and no runners on base. Kia Tigers’ batter 김석환 struck out against Samsung Lions’ pitcher 황동재, resulting in the first out of the second inning.","The game remains scoreless as both teams continue their pitching duel into the second inning. Kia Tigers loaded the bases in the first but failed to capitalize, while Samsung’s Gu Ja-wook ended the inning with a groundout. Currently, Kia’s Kim Seok-hwan, who had battled to a full count, struck out swinging against Samsung pitcher Hwang Dong-jae, marking the first out of the second inning. Both teams are maintaining strong defensive efforts, keeping the game tightly contested. The early innings continue to showcase a battle of pitchers, with each side searching for a breakthrough."
00:17:30,"In the top of the 2nd inning, Kia Tigers’ seventh batter, Lee Woo-sung, stepped up to the plate against Samsung Lions’ pitcher Hwang Dong-jae with no balls or strikes and one out in the inning. Kia Tigers batter Lee Woo-sung faced a 145 km/h fastball from Samsung Lions pitcher Hwang Dong-jae, resulting in a called strike, bringing the count to no balls and one strike with one out in the second inning.","The game remains scoreless as both teams continue their pitching duel into the second inning. Kia Tigers loaded the bases in the first but failed to capitalize, while Samsung’s Gu Ja-wook ended the inning with a groundout. In the second inning, Kia’s Kim Seok-hwan struck out swinging for the first out, and now Lee Woo-sung is battling Samsung pitcher Hwang Dong-jae, who quickly got a called strike to start the at-bat. Both teams are maintaining strong defensive efforts, keeping the game tightly contested as they search for a breakthrough. The pitchers continue to dominate early, with each side holding firm under pressure."
00:18:00,"In the second inning, Kia Tigers batter Lee Woo-sung faced a curveball from Samsung Lions pitcher Hwang Dong-jae, resulting in a ball count of 1-1 with one out and no runners on base.","The game remains scoreless as both teams continue their pitching duel into the second inning. Kia Tigers loaded the bases in the first but failed to capitalize, while Samsung’s Gu Ja-wook ended the inning with a groundout. In the second, Kia’s Kim Seok-hwan struck out swinging for the first out, and now Lee Woo-sung is battling Samsung pitcher Hwang Dong-jae, who quickly got a called strike before the count evened at 1-1. With one out and no runners on base, both teams are maintaining strong defensive efforts, keeping the game tightly contested as they search for a breakthrough. The pitchers continue to dominate early, holding firm under pressure."
00:18:30,"In the second inning, Kia Tigers’ batter Lee Woo-sung faced a 1-1 count and hit the third pitch, a 145 km/h fastball from Samsung Lions’ pitcher Hwang Dong-jae, with one out and no runners on base. Kia Tigers’ batter 이우성 hit a single to center field, reaching first base with one out in the second inning against Samsung Lions’ pitcher 황동재.","The game remains scoreless as both teams continue their pitching duel into the second inning. Kia Tigers loaded the bases in the first but failed to capitalize, while Samsung’s Gu Ja-wook ended the inning with a groundout. In the second, after Kim Seok-hwan struck out swinging for the first out, Lee Woo-sung battled Samsung pitcher Hwang Dong-jae and delivered a solid single to center field on a 145 km/h fastball. With one out and a runner now on first, Kia is looking to build momentum against the strong Samsung defense. The pitchers have been dominant so far, but Kia’s recent hit could spark a breakthrough."
00:19:00,"In the second inning, the Kia Tigers, who are batting, have their eighth batter, Kim Tae-gun, stepping up to the plate against Samsung Lions pitcher Hwang Dong-jae, with one out and a runner on first base. Kia Tigers’ batter 김태군 faced a 144 km/h fastball from Samsung Lions’ pitcher 황동재, resulting in a ball and a 1-0 count with one out in the second inning.","The game remains scoreless as both teams continue their pitching duel into the second inning. Kia Tigers loaded the bases in the first but failed to score, while Samsung’s Gu Ja-wook ended the inning with a groundout. In the second, after Kim Seok-hwan struck out, Lee Woo-sung singled to center, putting a runner on first with one out. Now, Kim Tae-gun steps up to the plate against Samsung’s Hwang Dong-jae, facing a 1-0 count as Kia looks to build on their recent momentum. The pitchers have been dominant, but Kia’s timely hitting could change the game’s dynamic."
00:19:30,"In the second inning, Kia Tigers batter Kim Tae-gun faced a 1-0 count and swung at the second pitch, a 143 km/h fastball from Samsung Lions pitcher Hwang Dong-jae, with one out and a runner on first. Kia Tigers batter 김태군 hit a single to the right side of the shortstop’s infield while the Samsung Lions were fielding in the bottom of the 2nd inning. Kia Tigers’ baserunner Lee Woo-sung advanced from first base to second base during the at-bat of batter Kim Tae-gun against Samsung Lions pitcher Hwang Dong-jae in the second inning.","The game remains scoreless as both teams continue their pitching duel into the second inning. Kia Tigers loaded the bases in the first but failed to score, while Samsung’s Gu Ja-wook ended the inning with a groundout. In the second, after Kim Seok-hwan struck out, Lee Woo-sung singled to center and advanced to second on Kim Tae-gun’s single to the right side. With one out and runners on first and second, Kia is looking to capitalize on this opportunity against Samsung’s Hwang Dong-jae. The pitchers have been dominant, but Kia’s timely hitting is starting to put pressure on the Lions’ defense."
00:20:00,"In the second inning, Kia Tigers’ ninth batter, Park Jung-woo, came to the plate with runners on first and second and one out, facing Samsung Lions’ pitcher Hwang Dong-jae. Kia Tigers batter 박정우 faced a 133 km/h forkball from Samsung Lions pitcher 황동재, resulting in a first-pitch strike with a 0-1 count and one out in the second inning.","The game remains scoreless as both teams continue their pitching duel into the second inning. Kia Tigers loaded the bases in the first but failed to score, while Samsung’s Gu Ja-wook ended the inning with a groundout. In the second, after Kim Seok-hwan struck out, Lee Woo-sung and Kim Tae-gun singled to put runners on first and second with one out. Now, Kia’s Park Jung-woo is at the plate, facing a 0-1 count after a first-pitch strike from Samsung’s Hwang Dong-jae. Kia is poised to capitalize on this promising opportunity against the Lions’ strong pitching."
